location_id,place_name,category,google_rating,entry_fee
9,Auto World Vintage Car Museum,"Arts, Science & Literature Attractions",4.4,100
10,Sabarmati Ashram,Cultural & Heritage Sites,4.6,0
11,Dwarka Beach & Lighthouse,Natural Landscapes & Wildlife,4.6,0
11,Rukmini Devi Mandir,Religious & Spiritual Pilgrimages,4.6,0
11,Shri Nageshwar Jyotirling,Religious & Spiritual Pilgrimages,4.7,0
12,Dwarkadhish Temple,Religious & Spiritual Pilgrimages,4.7,0
13,Mahabat Maqbara Palace,Cultural & Heritage Sites,4.4,0
13,Uparkot Fort,Cultural & Heritage Sites,4.3,5
13,Sakkarbaug Zoological Park,Natural Landscapes & Wildlife,4.3,20
14,Gir National Park,Natural Landscapes & Wildlife,4.5,3500
15,Aina Mahal Palace,Cultural & Heritage Sites,4.2,20
15,Bhuj Mandir,Religious & Spiritual Pilgrimages,4.7,0
15,Chhatardi Bhuj,Cultural & Heritage Sites,4.4,0
15,Vande Mataram Memorial,Cultural & Heritage Sites,4.6,100
16,White Desert,Natural Landscapes & Wildlife,4.6,0
17,Sayaji Baug Zoo,Natural Landscapes & Wildlife,4.4,20
17,Inorbit Mall Vadodara,Shopping & Markets,4.5,0
17,Baroda Museum &Gallery,"Arts, Science & Literature Attractions",4.5,5
17,BAPS Shri Swaminarayan Mandir,Religious & Spiritual Pilgrimages,4.5,0
17,Mandvi Gate,Cultural & Heritage Sites,4.4,0
18,Laxmi Vilas Palace,Cultural & Heritage Sites,4.4,200
19,Somnath Beach,Religious & Spiritual Pilgrimages,4.5,0
20,Somnath Temple,Religious & Spiritual Pilgrimages,4.8,0
21,Adalaj Stepwell,Cultural & Heritage Sites,4.5,0
21,Sarita Udyan,Sightseeing & Exploration,4.4,0
21,Swaminarayan Akshardham,Religious & Spiritual Pilgrimages,4.6,0
22,Dandi Kutir,"Arts, Science & Literature Attractions",4.5,0
10,Sabarmati Riverfront,Sightseeing & Exploration,4.6,0
10,Manek Chowk,Shopping & Markets,4.4,0
10,Kankaria Lake,Natural Landscapes & Wildlife,4.5,10
10,Science City,"Arts, Science & Literature Attractions",4.4,500
23,Birla Mandir,Religious & Spiritual Pilgrimages,4.6,0
23,Shree Khole Ki Hanuman Mandir,Religious & Spiritual Pilgrimages,4.8,0
23,Cental Park,Natural Landscapes & Wildlife,4.6,0
23,Moti Dungri Ganesh Ji Temple,Religious & Spiritual Pilgrimages,4.8,0
23,Jantar Mantar,"Arts, Science & Literature Attractions",4.5,0
23,Amber Palace,Cultural & Heritage Sites,4.6,0
23,Hawa Mahal,Cultural & Heritage Sites,4.4,50
24,Lake Pichola,Natural Landscapes & Wildlife,4.7,0
24,Jagdish Temple,Religious & Spiritual Pilgrimages,4.7,0
24,Ambrai Ghat,Sightseeing & Exploration,4.7,0
24,Saheliyon ki Bari,Natural Landscapes & Wildlife,4.4,50
24,Sajjangarh Monsoon Palace,Cultural & Heritage Sites,4.4,110
24,Bagore ki Haveli,Cultural & Heritage Sites,4.5,30
24,Karni Mata Temple,Religious & Spiritual Pilgrimages,4.0,0
24,City Palace,Cultural & Heritage Sites,4.4,300
25,Patwa Haweli,Cultural & Heritage Sites,4.3,40
25,Longewala War memorial,Cultural & Heritage Sites,4.8,50
25,Gadisar Lake,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0
25,Jaisalmer Fort,Cultural & Heritage Sites,4.4,50
26,Trinetra Ganesh Temple,Religious & Spiritual Pilgrimages,4.7,0
26,Ranthambore Fort,Cultural & Heritage Sites,4.5,0
26,Ranthambore National Park,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.6,500
27,Adhai Din ka Jhopra,Cultural & Heritage Sites,4.4,50
27,Anasagar Lake,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.5,0
27,Khwaja Gharib Nawaz Dargah,Religious & Spiritual Pilgrimages,4.6,0
28,Jaswant Thada,Cultural & Heritage Sites,4.4,30
28,Umaid Bhawan Palace,Cultural & Heritage Sites,4.5,50
28,Mehrangarh Fort,Cultural & Heritage Sites,4.6,100
29,Nakki Lake,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0
29,Sunset Point,"Natural Landscapes & Wildlife, Sightseeing & Exploration",0.4,0
29,Dilwara Temples,"Religious & Spiritual Pilgrimages, Cultural & Heritage Sites",4.6,0
23,Nahargarh Fort,Cultural & Heritage Sites,4.6,100
23,Jaigarh Fort,Cultural & Heritage Sites,4.5,35
24,Lake Pichola,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.6,0
30,Sadda Pind,Cultural & Heritage Sites,4.3,700
30,Gobind Garh Fort,Cultural & Heritage Sites,4.3,250
30,Shri Durgiana Temple,Religious & Spiritual Pilgrimages,4.7,0
30,Shree Harminder Sahib Gurudwara,Religious & Spiritual Pilgrimages,4.9,0
30,The Partition Museum,"Arts, Science & Literature Attractions",4.6,50
30,Golden Temple (Harmandir Sahib),Religious & Spiritual Pilgrimages,4.9,0
30,Jallianwala Bagh,Cultural & Heritage Sites,4.8,0
30,Wagah Border,"Adventure & Outdoor Activities, Sightseeing & Exploration",4.8,0
31,Japanese Garden,"Cultural & Heritage Sites, Natural Landscapes & Wildlife",4.3,0
31,Sector 17 Market,Shopping & Markets,4.4,0
31,ISKON temple,Religious & Spiritual Pilgrimages,4.8,0
31,Terraced garden,Natural Landscapes & Wildlife,4.5,0
31,Government museum & Art gallery,"Arts, Science & Literature Attractions",4.4,60
31,Sukhna Lake,Natural Landscapes & Wildlife,4.6,0
31,Rock Garden,Sightseeing & Exploration,4.5,30
32,Shree Krishna Swamy Temple,Religious & Spiritual Pilgrimages,4.6,0
32,Marari Beach,Natural Landscapes & Wildlife,4.5,0
32,International Coi Museum,"Arts, Science & Literature Attractions",4.3,0
32,Alleppey Backwater,Natural Landscapes & Wildlife,4.6,0
32,Chakkulathukavu Sree Bhagwathi Temple,Religious & Spiritual Pilgrimages,4.3,0
32,Mannarasala Sree Nagaraja Temple,Religious & Spiritual Pilgrimages,4.3,0
32,St.Andrew's Basilica,Religious & Spiritual Pilgrimages,4.7,0
32,Alappuzha Beach,Natural Landscapes & Wildlife,4.5,0
33,Pothamedu View Point,Sightseeing & Exploration,4.2,0
33,Eravikulam National Park,Natural Landscapes & Wildlife,4.3,125
33,Mattupetty Dam,Sightseeing & Exploration,4.2,0
33,Munnar Tea Gardens,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.3,0
34,LuLu International Shopping Mall,Shopping & Markets,4.6,0
34,National Shrine Basilica of our Lady of Ransom,Religious & Spiritual Pilgrimages,4.8,0
34,Mattancherry Palace,Cultural & Heritage Sites,4.2,2
34,Marine Drive Kochi,Sightseeing & Exploration,4.3,0
34,Chottanikara Bhagvathy Temple,Religious & Spiritual Pilgrimages,5.0,0
34,Hill Palace Museum,Cultural & Heritage Sites,4.3,0
34,Cherai Beach,Natural Landscapes & Wildlife,4.0,0
34,Fort Kochi,Cultural & Heritage Sites,4.4,0
35,Attukal Bhagwathy Temple,Religious & Spiritual Pilgrimages,4.6,0
35,Kovalam Beach,Natural Landscapes & Wildlife,4.4,0
35,Thiruvanthapuram Zoological park,Natural Landscapes & Wildlife,4.2,200
35,Kanakakkunnu Palace,Cultural & Heritage Sites,4.5,0
35,Veli Lake Tourist Village,Sightseeing & Exploration,4.2,0
35,Napier Museum,"Arts, Science & Literature Attractions",4.4,70
36,Padmanabhaswamy Temple,Religious & Spiritual Pilgrimages,4.7,0
37,HiLITE mall,Shopping & Markets,4.2,0
37,Mittayi Theravu -SM Street,Shopping & Markets,4.5,0
37,Tali Maha Shiva Kshetram,Religious & Spiritual Pilgrimages,4.7,0
37,Sargaalaya Kerala Arts& Crafts village,"Arts, Science & Literature Attractions",4.3,50
37,Kozhikode Beach,Natural Landscapes & Wildlife,3.9,0
38,Lakkidi View point,Sightseeing & Exploration,4.5,0
38,Edakkal Caves,Natural Landscapes & Wildlife,4.1,70
38,"Karapuzha Dam, adventure park, garden",Adventure & Outdoor Activities,4.4,0
38,Wayanad Wildlife Sanctuary,Natural Landscapes & Wildlife,4.5,300
39,Muzhappilangad Beach,Natural Landscapes & Wildlife,4.4,0
39,Parassini Madappura Sree Muthappan Temple,Religious & Spiritual Pilgrimages,4.4,0
39,St. Angelo Fort,Cultural & Heritage Sites,4.4,20
34,Kerala Folklore Museum,Cultural & Heritage Sites,4.4,100
34,Wonderla Amusement Park,Adventure & Outdoor Activities,4.6,750
40,Shri Chamundeshwari Temple,Religious & Spiritual Pilgrimages,4.7,0
40,Chamundi Betta,Natural Landscapes & Wildlife,4.7,0
41,Lokaranjan Aqua World Underwater zoo,Natural Landscapes & Wildlife,4.6,200
41,Mysuru Railway museum,"Arts, Science & Literature Attractions",4.4,50
40,"Karanji Lake, boating, bird sanctuary","Natural Landscapes & Wildlife, Adventure & Outdoor Activities",4.0,0
40,Mysore Palace,Cultural & Heritage Sites,4.6,25
42,Virupaksha Temple,Religious & Spiritual Pilgrimages,4.7,0
43,Stone Chariot,Cultural & Heritage Sites,4.8,0
42,Mathanga Hill,Natural Landscapes & Wildlife,4.8,0
43,Shree Vijaya Vitthala Temple,Religious & Spiritual Pilgrimages,4.8,0
43,Group of monuments at Hampi,Cultural & Heritage Sites,4.7,30
43,Lotus Mahal,Cultural & Heritage Sites,4.6,50
43,Ajanadri Hills,Adventure & Outdoor Activities,4.7,0
44,Raja's Seat garden,Sightseeing & Exploration,4.4,0
44,Nagarhole Tiger Reserve,Natural Landscapes & Wildlife,4.4,150
44,Mallalli Falls,Natural Landscapes & Wildlife,4.6,0
44,Brahmagiri Wildlife Sanctuary,Natural Landscapes & Wildlife,4.4,25
44,Dubare Elephant camp and bathing spot,Natural Landscapes & Wildlife,4.1,20
44,Coorg river rafting Barapole,Adventure & Outdoor Activities,4.1,0
44,Namdroling Monastery,Religious & Spiritual Pilgrimages,4.5,0
44,Iruppu Falls-Brahmagiri,Natural Landscapes & Wildlife,4.1,0
45,Bhadra wildlife sanctuary,Natural Landscapes & Wildlife,4.4,60
45,Shri Jagadguru Shankaracharya Peeta,Religious & Spiritual Pilgrimages,4.8,0
45,Shri Annapurneshwari Devi Temple,Religious & Spiritual Pilgrimages,4.8,0
46,Sri Sharadamba Temple,Religious & Spiritual Pilgrimages,4.8,0
45,Kallathigiri Falls,Natural Landscapes & Wildlife,4.2,0
46,Baba Budan Giri hills,Natural Landscapes & Wildlife,4.5,0
47,Mullayanagiri Betta,Natural Landscapes & Wildlife,4.5,0
48,Sri Bhootanaatha Gudi,Religious & Spiritual Pilgrimages,4.7,0
48,Banashankari Devi Temple,Religious & Spiritual Pilgrimages,4.7,0
48,Badami Cave Temples,Religious & Spiritual Pilgrimages,4.6,30
49,Kadri Park,Sightseeing & Exploration,4.3,10
49,City Center mall,Shopping & Markets,4.4,0
49,Kukke Shree Subrahmanya Temple,Religious & Spiritual Pilgrimages,4.6,0
49,Dharmasthala Temple,Religious & Spiritual Pilgrimages,4.8,0
49,Pilikula Nisargadhama zoo,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,80
